StoreId,StoreName,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location
h657,Healthy To Go ,Healthy To Go - Paseo de Bacoor,Healthy,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
mdy5,Sulit Shawarma! ,Sulit Shawarma! - Paseo De Bacoor,Middle Eastern,4.7,(100+),Bacoor Cavite,Paseo De Bacoor
sao1,24/7 Super Healthy ,24/7 Super Healthy - Paseo de Bacoor,Filipino,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
d8sh,Chic Cafe ,Chic Cafe - Molino,Coffee,5.0,(2),Bacoor Cavite,Molino
ln2j,Papa Fritoes ,Papa Fritoes - Molino,Fried Chicken,4.8,(95),Bacoor Cavite,Molino
lr8l,The Green Menu ,The Green Menu - Paseo de Bacoor,Healthy,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
fjst,Old Recipe Restaurant (Lapaz Batchoy) ,Old Recipe Restaurant (Lapaz Batchoy) -  Addas,Filipino,4.3,(100+),Bacoor Cavite,Addas
q2sq,Tapa King ,Tapa King - V Central-Mall Molino,Filipino,4.7,(1000+),Bacoor Cavite,Mall Molino
e2xm,Marlon's Special Pancit Malabon ,Marlon's Special Pancit Malabon - A and L Building,Sinigang,4.9,(100+),Bacoor Cavite,A and L Building
ol1m,Bagwings ,Bagwings - Bacoor Blvd,Filipino,4.6,(2000+),Bacoor Cavite,Bacoor Blvd
zmjm,Timplang Pinoy: Filipino Eats ,Timplang Pinoy: Filipino Eats - Paseo De Bacoor,Liempo,4.7,(64),Bacoor Cavite,Paseo De Bacoor
bcw7,Domino's Pizza ,Domino's Pizza - Molino II,Pizza,4.4,(500+),Bacoor Cavite,Molino II
c30b,Grab Tapsi & Tea ,Grab Tapsi & Tea - Narra Street,Filipino,4.5,(93),Bacoor Cavite,Narra Street
aods,Unc's Restobar ,Unc's Restobar - Bacoor,Filipino,4.5,(500+),Bacoor Cavite,Bacoor
do8k,Burger Beast (Chef Carlo Miguel) ,Burger Beast (Chef Carlo Miguel) - Paseo de Bacoor,Burgers,4.7,(100+),Bacoor Cavite,Paseo de Bacoor
c8hn,Rhian Ramos' Healthy Appetite ,Rhian Ramos' Healthy Appetite - Paseo de Bacoor,Wraps,4.6,(100+),Bacoor Cavite,Paseo de Bacoor
fcxs,Starbucks ,Starbucks - Molino Boulevard,Coffee,4.6,(2000+),Bacoor Cavite,Molino Boulevard
b5qr,Tori Kraze ,Tori Kraze - Paseo De Bacoor,Japanese,4.6,(100+),Bacoor Cavite,Paseo De Bacoor
r6ej,Toss Eat Bar and Restaurant ,Toss Eat Bar and Restaurant - Paseo de Bacoor,Chicken Wings,4.8,(2000+),Bacoor Cavite,Paseo de Bacoor
qay4,Lugaw Juan ,Lugaw Juan - Molino,Filipino,4.5,(500+),Bacoor Cavite,Molino
pyf1,Mangguo ,Mangguo - Bacoor,Fruit Shake,3.9,(100+),Bacoor Cavite,Bacoor
j8t7,Great Greens: Salads & Grains ,Great Greens: Salads & Grains - Paseo de Bacoor,Healthy,4.8,(500+),Bacoor Cavite,Paseo de Bacoor
tgos,Hummus Express ,Hummus Express - Paseo de Bacoor,Middle Eastern,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
k58a,DAKS Shawarma by Boys Night Out ,DAKS Shawarma by Boys Night Out - Paseo de Bacoor,Shawarma,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
aqom,Mr. Mediterranean ,Mr. Mediterranean - Paseo de Bacoor,Middle Eastern,4.4,(100+),Bacoor Cavite,Paseo de Bacoor
ne98,Conti's Bakeshop and Restaurant ,Conti's Bakeshop and Restaurant - Molino Cavite,Cakes,4.8,(500+),Bacoor Cavite,Molino Cavite
d7pe,Smash It: Burgers & More ,Smash It: Burgers & More - Paseo de Bacoor,American,4.7,(500+),Bacoor Cavite,Paseo de Bacoor
r5fu,Dam,Dam-Dobs Tapsilogan,Filipino,4.7,(3000+),Bacoor Cavite,Dobs Tapsilogan
i7en,Jmiels Pizza House ,Jmiels Pizza House - Soldier's Molino,Pizza,4.9,(29),Bacoor Cavite,Soldier's Molino
qt4n,Eat Sulit ,Eat Sulit - Paseo de Bacoor,Chicken,4.7,(500+),Bacoor Cavite,Paseo de Bacoor
fkt0,24/7 Wings ,24/7 Wings - Paseo de Bacoor,Chicken,4.7,(100+),Bacoor Cavite,Paseo de Bacoor
jm72,Lugaw Daddy ,Lugaw Daddy - Paseo de Bacoor,Filipino,4.7,(91),Bacoor Cavite,Paseo de Bacoor
vfb9,Cloudmeets ,Cloudmeets - Soldier Hills,Burgers,4.8,(31),Bacoor Cavite,Soldier Hills
pu2r,Super Chicken Tenders ,Super Chicken Tenders - Paseo de Bacoor,Chicken,4.6,(500+),Bacoor Cavite,Paseo de Bacoor
e7oz,Rice and Shine ,Rice and Shine - Paseo de Bacoor,Silog,4.7,(500+),Bacoor Cavite,Paseo de Bacoor
t0t9,Woozy Pig Restaurant ,Woozy Pig Restaurant - Molino,Filipino,4.7,(1000+),Bacoor Cavite,Molino
zk5e,Setsuna ,Setsuna - Molino 2,Japanese,4.4,(500+),Bacoor Cavite,Molino 2
ckg6,99 Peso Rice Bowls To Go ,99 Peso Rice Bowls To Go - Paseo de Bacoor,Rice Bowl,4.7,(100+),Bacoor Cavite,Paseo de Bacoor
szm5,Beef Street Burgers ,Beef Street Burgers - Paseo de Bacoor,American,4.6,(55),Bacoor Cavite,Paseo de Bacoor
euch,24/7 Eats ,24/7 Eats - Paseo de Bacoor,Filipino,4.8,(100+),Bacoor Cavite,Paseo de Bacoor
jnky,PICKUP COFFEE ,PICKUP COFFEE - WalterMart Bacoor,Coffee,4.7,(500+),Bacoor Cavite,WalterMart Bacoor
j2ww,Swafta's Shawarma ,Swafta's Shawarma - Paseo de Bacoor,Middle Eastern,4.7,(75),Bacoor Cavite,Paseo de Bacoor
w9rx,55 Pares ,55 Pares - Molino,Filipino,4.3,(100+),Bacoor Cavite,Molino
qek9,Binakol Grill and Restaurant ,Binakol Grill and Restaurant - Molino Boulevard,Ulam,4.7,(68),Bacoor Cavite,Molino Boulevard
